"isolate__autocolour","ST__autocolour","Serotype__autocolour","SRA__autocolour","Biosample__autocolour","benchmark_included__autocolour","stx_profile__autocolour","stx_count__autocolour","plasmid_profile__autocolour","plasmid_count__autocolour","ST_plot__autocolour","Serotype_plot__autocolour","plasmid_profile_plot__autocolour","stx_profile_plot__autocolour"
"GCF_005222265.1_ASM522226v1","11","O157:H7","SRR6929601","SAMN08773026","yes","stx2c",1,"25; 12",2,"11","O157:H7","25; 12","stx2c"
"GCF_005222285.1_ASM522228v1","11","O157:H7","SRR6929603","SAMN08773024","yes","stx1a",1,"26",1,"11","O157:H7","26","Other"
"GCF_005222305.1_ASM522230v1","11","O157:H7","SRR6929606","SAMN08773021","yes","stx1a; stx2a",2,"26; 18",2,"11","O157:H7","Other","stx1a; stx2a"
"GCF_005222325.1_ASM522232v1","11","O157:H7","SRR6929607","SAMN08773020","yes","stx1a; stx2a",2,"26",1,"11","O157:H7","26","stx1a; stx2a"
"GCF_005222345.1_ASM522234v1","11","O157:H7","SRR6929609","SAMN08773018","yes","stx1a; stx2a",2,"26",1,"11","O157:H7","26","stx1a; stx2a"
"GCF_005222365.1_ASM522236v1","11","O157:H7","SRR6929610","SAMN08773017","yes","stx1a; stx2a",2,"26",1,"11","O157:H7","26","stx1a; stx2a"
"GCF_005222385.1_ASM522238v1","11","O157:H7","SRR6929602","SAMN08773025","yes","stx2c",1,"25; 12",2,"11","O157:H7","25; 12","stx2c"
"GCF_005222405.1_ASM522240v1","11","O157:H7","SRR6929604","SAMN08773023","yes","stx1a",1,"26",1,"11","O157:H7","26","Other"
"GCF_005222425.1_ASM522242v1","11","O157:H7","SRR6929605","SAMN08773022","yes","stx1a; stx2a",2,"26; 18",2,"11","O157:H7","Other","stx1a; stx2a"
"GCF_005222445.1_ASM522244v1","11","O157:H7","SRR6929608","SAMN08773019","yes","stx1a; stx2a",2,"26; 18",2,"11","O157:H7","Other","stx1a; stx2a"
"GCF_005383105.2_ASM538310v2","38","O4:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005389605.2_ASM538960v2","109","O42/O28:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005391285.2_ASM539128v2","392","O8:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005393605.2_ASM539360v2","392","O8:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005396225.2_ASM539622v2","7010","-:H14",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005484365.1_ASM548436v1","410","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005671355.1_ASM567135v1","410","O8:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005885915.1_ASM588591v1","11","O157:H7","SRR10119255","SAMN11787763","yes","stx1a; stx2a",2,"26",1,"11","O157:H7","26","stx1a; stx2a"
"GCF_005885955.1_ASM588595v1","11","O157:H7","SRR10119414","SAMN11786966","yes","stx2a",1,"25",1,"11","O157:H7","25","stx2a"
"GCF_005886035.1_ASM588603v1","38","O2/O50:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005890115.1_ASM589011v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005954605.1_ASM595460v1","11066","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005954625.1_ASM595462v1","11066","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_005954725.1_ASM595472v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006088875.1_ASM608887v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006337025.1_ASM633702v1","410","O8:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006351885.1_ASM635188v1","8655","O1:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006352265.1_ASM635226v1","410","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006364695.1_ASM636469v1","678","O104:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006536085.2_ASM653608v3","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006537505.2_ASM653750v3","410","O8:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006777045.1_ASM677704v1","648","O1:H42",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006777065.1_ASM677706v1","10754","O82:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006777085.1_ASM677708v1","-","O24:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_006874785.1_ASM687478v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_006965465.1_ASM696546v1","38","O86:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_007012305.1_ASM701230v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_007632435.1_ASM763243v1","2599","O28:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_007833255.1_ASM783325v1","95","O2/O50:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_007833295.1_ASM783329v1","95","O2:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_007833875.1_ASM783387v1","10522","O4:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_007922655.1_ASM792265v1","11","O157:H7","SRR9694420","SAMN12261986","yes",NA,NA,"17; 25",2,"11","O157:H7","Other","Other"
"GCF_007954215.2_ASM795421v2","1081","O81:H14",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_007990655.1_ASM799065v1","16","O111:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_007995175.1_ASM799517v1","162","O8:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008033295.1_ASM803329v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008033315.1_ASM803331v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008042015.2_ASM804201v2","410","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008065435.1_ASM806543v1","-","O109:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008065455.1_ASM806545v1","10","O113:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008080655.1_ASM808065v1","48","-:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124005.1_ASM812400v1","10082","O80:H26",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124085.1_ASM812408v1","141","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124105.1_ASM812410v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124125.1_ASM812412v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124145.1_ASM812414v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124165.1_ASM812416v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124185.1_ASM812418v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124205.1_ASM812420v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124225.1_ASM812422v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124245.1_ASM812424v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124265.1_ASM812426v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124285.1_ASM812428v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124305.1_ASM812430v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124325.1_ASM812432v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124345.1_ASM812434v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124365.1_ASM812436v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124385.1_ASM812438v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124405.1_ASM812440v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008124425.1_ASM812442v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008152105.1_ASM815210v1","457","O11:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008329665.1_ASM832966v1","223","O159:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008370755.1_ASM837075v1","40","O109:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008375335.1_ASM837533v1","48","O6:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008462425.1_ASM846242v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008632555.1_ASM863255v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008632575.1_ASM863257v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008632595.1_ASM863259v1","95","O2/O50:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008634095.2_ASM863409v2","32","O145:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008635785.2_ASM863578v2","32","O145:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008642395.1_ASM864239v1","38","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008642415.1_ASM864241v1","191","O48:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008727135.1_ASM872713v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008727155.1_ASM872715v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008727175.1_ASM872717v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008727195.1_ASM872719v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008761455.2_ASM876145v2","2217","O45:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008761475.2_ASM876147v2","2217","O45:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008761495.2_ASM876149v2","2217","O45:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008761515.1_ASM876151v1","223","O113:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008761535.2_ASM876153v3","17","O45:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008807135.1_ASM880713v1","10","O5:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008807155.1_ASM880715v1","761","O5:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008807295.1_ASM880729v1","761","O5:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008807655.1_ASM880765v1","38","O2/O50:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008823185.1_ASM882318v1","1695","O89:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008824125.1_ASM882412v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008925965.1_ASM892596v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008926085.1_ASM892608v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008926105.1_ASM892610v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008926125.1_ASM892612v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008926145.1_ASM892614v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008926165.1_ASM892616v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008926185.1_ASM892618v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008926305.1_ASM892630v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008931135.1_ASM893113v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008931185.1_ASM893118v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_008931725.1_ASM893172v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008931745.1_ASM893174v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008931765.1_ASM893176v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008931865.1_ASM893186v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_008949495.1_ASM894949v1","354","O153:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009176965.1_ASM917696v1","542","O184:H40",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009363035.1_ASM936303v1","10","O8:H17",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009395265.1_ASM939526v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009431955.1_ASM943195v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_009432215.1_ASM943221v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_009432415.1_ASM943241v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_009432635.1_ASM943263v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_009432795.1_ASM943279v1","11","O157:H7","SRR9994127","SAMN11633023","yes",NA,NA,NA,NA,"11","O157:H7","Other","Other"
"GCF_009432915.1_ASM943291v1","11","O157:H7","SRR9994124","SAMN11633022","yes",NA,NA,"25",1,"11","O157:H7","25","Other"
"GCF_009433135.1_ASM943313v1","11","O157:H7","SRR9994125","SAMN11633021","yes",NA,NA,"25",1,"11","O157:H7","25","Other"
"GCF_009577985.1_ASM957798v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009618015.1_ASM961801v1","4577","O8:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009627495.1_ASM962749v1","11","O157:H7","SRR427084","SAMN00794595","yes",NA,NA,"26",1,"11","O157:H7","26","Other"
"GCF_009648495.1_ASM964849v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009650035.1_ASM965003v1","29","O26:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009650175.1_ASM965017v1","11","O157:H7","SRR10337442","SAMN10574722","yes","stx1a",1,"25; 20",2,"11","O157:H7","25; 20","Other"
"GCF_009663855.1_ASM966385v1","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009664185.1_ASM966418v1","1079","O6:H49",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009664205.1_ASM966420v1","-","O6:H49",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009664305.1_ASM966430v1","11","O157:H7","SRR6373397","SAMN08167607","yes","stx2a; stx2c",2,"25",1,"11","O157:H7","25","stx2a; stx2c"
"GCF_009664455.1_ASM966445v1","11","O157:H7","SRR10520171","SAMN13191633","yes","stx1a; stx2c",2,"25",1,"11","O157:H7","25","stx1a; stx2c"
"GCF_009671045.1_ASM967104v1","641","-:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009671085.1_ASM967108v1","761","O5:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009671105.1_ASM967110v1","8165","O173:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009671125.1_ASM967112v1","7131","O96:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009720465.1_ASM972046v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009720605.1_ASM972060v1","5415","O153/O178:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009728565.1_ASM972856v1","446","O22:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009738145.1_ASM973814v1","206","-:H38",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009738455.1_ASM973845v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_009761715.1_ASM976171v1","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009762385.1_ASM976238v1","48","O113:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009832885.1_ASM983288v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009832985.1_ASM983298v1","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009866925.2_ASM986692v3","10","O9:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009866945.2_ASM986694v3","167","O9:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009867015.2_ASM986701v2","10","O153:H15",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009867035.2_ASM986703v3","58","O9:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009905115.1_ASM990511v1","4977","-:H26",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009905135.1_ASM990513v1","156","-:H28",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009905355.1_ASM990535v1","10","O13/O135:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009909465.1_ASM990946v1","2325","O10:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009909485.1_ASM990948v1","3714","O100/O154:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009909505.1_ASM990950v1","7511","O135/O13:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009913415.1_ASM991341v1","3714","O100/O154:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009914295.1_ASM991429v1","2705","-:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009931235.1_ASM993123v1","11","O157:H7","SRR8292155","SAMN10531264","yes","stx1a; stx2a",2,"26; 18; 4; 20",4,"11","O157:H7","Other","stx1a; stx2a"
"GCF_009931435.1_ASM993143v1","3042","O153:H51",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009948655.1_ASM994865v1","4038","O93:H28",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009949145.1_ASM994914v1","446","O22:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009949705.1_ASM994970v1","993","O100:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009950125.1_ASM995012v1","3630","O159:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009950475.1_ASM995047v1","1611","O100:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009950805.1_ASM995080v1","1611","O100:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009951245.1_ASM995124v1","1611","O100:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009951745.1_ASM995174v1","155","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_009952125.1_ASM995212v1","162","O46/O8/O134:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010092405.1_ASM1009240v1","156","-:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010092965.1_ASM1009296v1","648","O154:H51",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365325.1_ASM1036532v1","73","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365345.1_ASM1036534v1","1284","O89:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365365.1_ASM1036536v1","940","-:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365385.1_ASM1036538v1","648","O153:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365405.1_ASM1036540v1","940","-:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365425.1_ASM1036542v1","656","-:H45",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365465.1_ASM1036546v1","410","O8:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365485.1_ASM1036548v1","205","O100:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365505.1_ASM1036550v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365525.1_ASM1036552v1","167","O89:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010365545.1_ASM1036554v1","410","O8:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010509415.1_ASM1050941v1","10","-:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010668985.1_ASM1066898v1","8527","O25:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010669005.1_ASM1066900v1","8827","O170:H28",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010669025.1_ASM1066902v1","8525","O83:H39",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010706435.1_ASM1070643v1","12","O4:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010724935.1_ASM1072493v1","10605","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_010725305.1_ASM1072530v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011022275.1_ASM1102227v1","315","O86:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011044355.1_ASM1104435v1","429","O83:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011045215.1_ASM1104521v1","8826","O81:H51",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011045235.1_ASM1104523v1","8532","O13/O135:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011045255.1_ASM1104525v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011045275.1_ASM1104527v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011045295.1_ASM1104529v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011045475.1_ASM1104547v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011045875.1_ASM1104587v1","10170","O5:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011045895.1_ASM1104589v1","10170","O5:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011064575.1_ASM1106457v1","708","O8:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011067085.1_ASM1106708v1","156","-:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011330935.2_ASM1133093v2","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011331065.1_ASM1133106v1","10","O89:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011331215.2_ASM1133121v2","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011383085.1_ASM1138308v1","58","O126:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011403355.1_ASM1140335v1","201","O153:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011404215.1_ASM1140421v1","206","-:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011404355.1_ASM1140435v1","206","O141:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011404475.1_ASM1140447v1","189","O80:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011404595.1_ASM1140459v1","165","O154:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011404755.1_ASM1140475v1","-","O96:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011404895.1_ASM1140489v1","10","-:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011492885.1_ASM1149288v1","7366","O184:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011492925.1_ASM1149292v1","58","O153:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011492985.1_ASM1149298v1","48","-:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011691525.1_ASM1169152v1","761","O5:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011769865.1_ASM1176986v1","167","O89:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_011996085.1_ASM1199608v1","29","O4:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_012044775.1_ASM1204477v1","8535","-:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
