"isolate","scheme","ST","adk","fumC","gyrB","icd","mdh","purA","recA","Species","O.type","H.type","Serotype","QC","Evidence","GeneScores","AlleleKeys","GeneIdentities...","GeneCoverages...","GeneContigNames","GeneRanges","GeneLengths","Database","Warnings","SRA","Biosample","benchmark_included","stx_profile","stx_count","plasmid_profile","plasmid_count","Unique","Distinct","Total","Max_count","rep_types","rep_frac_distinct","rep_frac_total"
"GCF_000978815.2_ASM97881v2","ecoli_achtman_4","11","adk(12)","fumC(12)","gyrB(8)","icd(12)","mdh(15)","purA(2)","recA(2)","-","-","H7","-:H7","-","Based on 1 allele(s)","fliC:1;","H7-1-fliC-origin;","100;","100;","NZ_CP076232.1;","3465794-3467551;","1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5175372,5355399,5750430,62,180027,0.033616,0.100003
"GCF_000978845.2_ASM97884v2","ecoli_achtman_4","11","adk(12)","fumC(12)","gyrB(8)","icd(12)","mdh(15)","purA(2)","recA(2)","-","O157","H7","O157:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP076230.1;NZ_CP076230.1;NZ_CP076230.1;","2016158-2017549;2014290-2015456;2230532-2232289;","1392;1167;1758;","v1.0 (11-03-2020)","-","SRR14419383","SAMN03470766","yes","stx2a; stx2c",2,"25",1,5110146,5292600,5639318,62,182454,0.034473,0.093836
"GCF_000981485.1_EcoliK12AG100","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_LN832404.1;NZ_LN832404.1;NZ_LN832404.1;","2111273-2112520;2108996-2110162;2005046-2006542;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4511202,4543998,4638085,81,32796,0.007217,0.027357
"GCF_000986765.1_ASM98676v1","ecoli_achtman_4","678","adk(6)","fumC(6)","gyrB(5)","icd(136)","mdh(9)","purA(7)","recA(7)","-","O104","H4","O104:H4","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O104-16-wzx;O104-13-wzy;H4-2-fliC-origin;","100;100;100;","100;100;100;","NZ_CP011331.1;NZ_CP011331.1;NZ_CP011331.1;","1259180-1260370;1256752-1257864;1405964-1407013;","1191;1113;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5111157,5233054,5445846,50,121897,0.023294,0.061458
"GCF_000987875.1_ASM98787v1","ecoli_achtman_4","48","adk(6)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O78","H11","O78:H11","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O78-3-wzx;O78-6-wzy;H11-4-fliC;","100;100;100;","100;100;100;","NZ_CP007594.1;NZ_CP007594.1;NZ_CP007594.1;","2335005-2336420;2339147-2340268;2180572-2182030;","1416;1122;1459;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4855020,4949721,5153415,81,94701,0.019133,0.057902
"GCF_000988355.1_ASM98835v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP011320.1;NZ_CP011320.1;NZ_CP011320.1;","2105586-2106833;2103309-2104475;1999359-2000855;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4510087,4543632,4633441,81,33545,0.007383,0.026623
"GCF_000988385.1_ASM98838v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP011321.1;NZ_CP011321.1;NZ_CP011321.1;","2100048-2101295;2097771-2098937;1993821-1995317;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4509452,4541612,4610861,81,32160,0.007081,0.021994
"GCF_000988425.1_ASM98842v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP011322.1;NZ_CP011322.1;NZ_CP011322.1;","2100047-2101294;2097770-2098936;1993820-1995316;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4513507,4540734,4605115,81,27227,0.005996,0.019893
"GCF_000988465.1_ASM98846v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP011324.1;NZ_CP011324.1;NZ_CP011324.1;","2100048-2101295;2097771-2098937;1993821-1995317;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4513585,4540870,4605281,81,27285,0.006009,0.019911
"GCF_001007915.1_ASM100791v1","ecoli_achtman_4","99","adk(6)","fumC(4)","gyrB(22)","icd(18)","mdh(9)","purA(26)","recA(7)","-","O96","H19","O96:H19","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O96-1-wzx-origin;O96-2-wzy-origin;H19-4-fliC;","100;100;99.945;","100;100;100;","NZ_CP011416.1;NZ_CP011416.1;NZ_CP011416.1;","257085-258332;253777-255027;126665-128496;","1248;1251;1832;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4885867,5017416,5288887,46,131549,0.026218,0.076201
"GCF_001020945.2_ASM102094v2","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP011342.2;NZ_CP011342.2;NZ_CP011342.2;","2089191-2090438;2086914-2088080;1982964-1984460;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4485296,4520454,4622322,80,35158,0.007778,0.029644
"GCF_001021005.2_ASM102100v2","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP011343.2;NZ_CP011343.2;NZ_CP011343.2;","2088495-2089742;2086218-2087384;1982315-1983811;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4485743,4520625,4621636,79,34882,0.007716,0.029404
"GCF_001021595.1_ASM102159v1","ecoli_achtman_4","416","adk(37)","fumC(110)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O18","H7","O18:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;","100;100;100;","100;100;100;","NZ_CP007275.1;NZ_CP007275.1;NZ_CP007275.1;","1379849-1381096;1378602-1379790;1124039-1125796;","1248;1189;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4844964,4907457,5002761,47,62493,0.012734,0.031542
"GCF_001021615.1_APECO18","ecoli_achtman_4","95","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O18","H7","O18:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;","100;100;99.943;","100;100;100;","NZ_CP006830.1;NZ_CP006830.1;NZ_CP006830.1;","1113723-1114970;1112476-1113664;896096-897853;","1248;1189;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4887270,4931014,5006548,48,43744,0.008871,0.023824
"GCF_001021635.2_ASM102163v2","ecoli_achtman_4","117","adk(20)","fumC(45)","gyrB(41)","icd(43)","mdh(5)","purA(32)","recA(2)","-","O2","H4","O2:H4","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O2-10-wzx;O2-17-wzy;H4-2-fliC-origin;","100;100;100;","100;100;100;","NZ_CP006834.2;NZ_CP006834.2;NZ_CP006834.2;","3244205-3245467;3241532-3242494;3095852-3096901;","1263;963;1050;","v1.0 (11-03-2020)","High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)",NA,NA,"no",NA,NA,NA,NA,5077888,5159569,5318261,57,81681,0.015831,0.045198
"GCF_001029125.1_ASM102912v1","ecoli_achtman_4","46","adk(8)","fumC(7)","gyrB(1)","icd(8)","mdh(8)","purA(8)","recA(6)","-","O9","H4","O9:H4","-","Based on 3 allele(s)","wzm:0.954;wzt:0.991;fliC:1;","O9-2-wzm-origin;O9-20-wzt;H4-15-fliC;","95.42;99.074;100;","100;100;100;","NZ_CP006636.1;NZ_CP006636.1;NZ_CP006636.1;","2088900-2089685;2087602-2088897;1966202-1967251;","786;1296;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4698347,4743667,4901685,78,45320,0.009554,0.041483
"GCF_001039415.1_ASM103941v1","ecoli_achtman_4","93","adk(6)","fumC(11)","gyrB(4)","icd(10)","mdh(7)","purA(8)","recA(6)","-","O7","-","O7:-","-","Based on 2 allele(s)","wzx:1;wzy:1;","O7-2-wzx-origin;O7-39-wzy;","100;100;","100;100;","NZ_CP011938.1;NZ_CP011938.1;","2006621-2008045;2002183-2002909;","1425;727;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4374450,4407021,4501430,78,32571,0.007391,0.028209
"GCF_001043215.1_ASM104321v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;99.933;","100;100;100;","NZ_CP011495.1;NZ_CP011495.1;NZ_CP011495.1;","3367021-3368268;3364744-3365910;3261993-3263489;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4602596,4639066,4745551,80,36470,0.007861,0.030124
"GCF_001051135.1_ASM105113v1","ecoli_achtman_4","23","adk(6)","fumC(4)","gyrB(12)","icd(1)","mdh(20)","purA(13)","recA(7)","-","O78","H9","O78:H9","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O78-3-wzx;O78-6-wzy;H9-1-fliC-origin;","100;100;99.95;","100;100;100;","NZ_CP007442.1;NZ_CP007442.1;NZ_CP007442.1;","2129047-2130462;2133189-2134310;1963950-1965962;","1416;1122;2013;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4810982,4848377,4936556,58,37395,0.007713,0.025438
"GCF_001183645.1_ASM118364v1","ecoli_achtman_4","1060","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(128)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012125.1;NZ_CP012125.1;NZ_CP012125.1;","2092142-2093389;2089865-2091031;1985915-1987411;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4474276,4508194,4613524,79,33918,0.007524,0.030183
"GCF_001183665.1_ASM118366v1","ecoli_achtman_4","1060","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(128)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012126.1;NZ_CP012126.1;NZ_CP012126.1;","2092143-2093390;2089866-2091032;1985916-1987412;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4472290,4506280,4611686,79,33990,0.007543,0.030227
"GCF_001183685.1_ASM118368v1","ecoli_achtman_4","1060","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(128)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012127.1;NZ_CP012127.1;NZ_CP012127.1;","2089529-2090776;2087252-2088418;1983302-1984798;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4468890,4503093,4608698,79,34203,0.007595,0.030336
"GCF_001276585.2_ASM127658v2","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP011113.2;NZ_CP011113.2;NZ_CP011113.2;","2071200-2072447;2068923-2070089;1964973-1966469;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4458071,4488133,4587271,82,30062,0.006698,0.028165
"GCF_001280325.1_ASM128032v1","ecoli_achtman_4","95","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O1","H7","O1:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O1-1-wzx-origin;O1-6-wzy;H7-3-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012635.1;NZ_CP012635.1;NZ_CP012635.1;","1846923-1848149;1850417-1851421;2025573-2027330;","1227;1005;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5037163,5096403,5206917,49,59240,0.011624,0.032602
"GCF_001280345.1_ASM128034v1","ecoli_achtman_4","95","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O25","H4","O25:H4","-","Based on 3 allele(s)","wzx:0.96;wzy:0.956;fliC:1;","O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;","96.032;95.579;100;","100;100;100;","NZ_CP012625.1;NZ_CP012625.1;NZ_CP012625.1;","2036375-2037634;2039787-2040849;2201327-2202376;","1260;1063;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5186645,5253240,5358523,48,66595,0.012677,0.032076
"GCF_001280385.1_ASM128038v1","ecoli_achtman_4","95","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O1","H7","O1:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O1-3-wzx;O1-6-wzy;H7-3-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012633.1;NZ_CP012633.1;NZ_CP012633.1;","1884694-1885920;1888188-1889192;2125718-2127475;","1227;1005;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4924686,4958289,5025143,49,33603,0.006777,0.019991
"GCF_001280405.1_ASM128040v1","ecoli_achtman_4","95","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O18","H7","O18:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012631.1;NZ_CP012631.1;NZ_CP012631.1;","1861462-1862709;1862768-1863956;2080486-2082243;","1248;1189;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5024477,5072008,5152766,47,47531,0.009371,0.024897
"GCF_001307215.1_ASM130721v1","ecoli_achtman_4","11","adk(12)","fumC(12)","gyrB(8)","icd(12)","mdh(15)","purA(2)","recA(2)","-","O157","H7","O157:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012802.1;NZ_CP012802.1;NZ_CP012802.1;","2657011-2658402;2659104-2660270;1252833-1254590;","1392;1167;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5073094,5193855,5428048,61,120761,0.023251,0.065393
"GCF_001308065.1_ASM130806v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012868.1;NZ_CP012868.1;NZ_CP012868.1;","2532070-2533317;2534428-2535594;2638048-2639544;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4510145,4543892,4641645,81,33747,0.007427,0.02833
"GCF_001308125.1_ASM130812v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012869.1;NZ_CP012869.1;NZ_CP012869.1;","2532070-2533317;2534428-2535594;2638048-2639544;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4510154,4543908,4641664,81,33754,0.007428,0.028333
"GCF_001308165.1_ASM130816v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP012870.1;NZ_CP012870.1;NZ_CP012870.1;","2532070-2533317;2534428-2535594;2638048-2639544;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4510160,4543916,4641669,81,33756,0.007429,0.028332
"GCF_001420935.1_ASM142093v1","ecoli_achtman_4","119","adk(48)","fumC(46)","gyrB(43)","icd(45)","mdh(11)","purA(34)","recA(35)","-","O165","H25","O165:H25","-","Based on 3 allele(s)","wzx:1;wzy:0.996;fliC:1;","O165-1-wzx-origin;O165-2-wzy-origin;H25-9-fliC;","100;99.552;100;","100;100;100;","NZ_CP013029.1;NZ_CP013029.1;NZ_CP013029.1;","3014120-3015370;3011360-3012697;2845950-2847146;","1251;1338;1197;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4919137,5036308,5375150,53,117171,0.023265,0.084837
"GCF_001420955.1_ASM142095v1","ecoli_achtman_4","117","adk(20)","fumC(45)","gyrB(41)","icd(43)","mdh(5)","purA(32)","recA(2)","-","O119","H4","O119:H4","-","Based on 3 allele(s)","wzx:0.999;wzy:1;fliC:1;","O119-1-wzx-origin;O119-2-wzy-origin;H4-2-fliC-origin;","99.933;100;100;","100;100;100;","NZ_CP013025.1;NZ_CP013025.1;NZ_CP013025.1;","4187826-4189313;4190455-4191657;4374317-4375366;","1488;1203;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5163973,5291535,5514263,57,127562,0.024107,0.063524
"GCF_001442495.1_ASM144249v1","ecoli_achtman_4","410","adk(6)","fumC(4)","gyrB(12)","icd(1)","mdh(20)","purA(18)","recA(7)","-","-","H9","-:H9","-","Based on 1 allele(s)","fliC:1;","H9-1-fliC-origin;","99.95;","100;","NZ_CP013112.1;","1546972-1548984;","2013;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4714673,4755202,4863481,55,40529,0.008523,0.030597
"GCF_001469815.1_ASM146981v1","ecoli_achtman_4","131","adk(53)","fumC(40)","gyrB(47)","icd(13)","mdh(36)","purA(28)","recA(29)","-","O25","H4","O25:H4","-","Based on 3 allele(s)","wzx:0.96;wzy:0.957;fliC:1;","O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;","96.032;95.673;100;","100;100;100;","NZ_CP013658.1;NZ_CP013658.1;NZ_CP013658.1;","1351977-1353236;1348762-1349824;1140795-1141844;","1260;1063;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5075781,5135172,5250370,50,59391,0.011566,0.033253
"GCF_001485455.1_ASM148545v1","ecoli_achtman_4","648","adk(92)","fumC(4)","gyrB(87)","icd(96)","mdh(70)","purA(58)","recA(2)","-","O51","H4","O51:H4","-","Based on 3 allele(s)","wzx:1;wzy:0.999;fliC:1;","O51-4-wzx;O51-7-wzy;H4-2-fliC-origin;","100;99.904;100;","100;100;100;","NZ_CP008697.1;NZ_CP008697.1;NZ_CP008697.1;","2990446-2992005;2988532-2989570;2844024-2845073;","1560;1039;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5046714,5099630,5195377,35,52916,0.010376,0.028614
"GCF_001513615.1_ASM151361v1","ecoli_achtman_4","131","adk(53)","fumC(40)","gyrB(47)","icd(13)","mdh(36)","purA(28)","recA(29)","-","O25","H4","O25:H4","-","Based on 3 allele(s)","wzx:0.96;wzy:0.957;fliC:1;","O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;","96.032;95.673;100;","100;100;100;","NZ_CP013831.1;NZ_CP013831.1;NZ_CP013831.1;","2341450-2342709;2338235-2339297;2174137-2175186;","1260;1063;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5015698,5090532,5219003,50,74834,0.014701,0.038955
"GCF_001513635.1_ASM151363v1","ecoli_achtman_4","131","adk(53)","fumC(40)","gyrB(47)","icd(13)","mdh(36)","purA(28)","recA(29)","-","O25","H4","O25:H4","-","Based on 3 allele(s)","wzx:0.96;wzy:0.957;fliC:1;","O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;","96.032;95.673;100;","100;100;100;","NZ_CP013835.1;NZ_CP013835.1;NZ_CP013835.1;","2307754-2309013;2304539-2305601;2099113-2100162;","1260;1063;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5083803,5173724,5317039,50,89921,0.01738,0.043866
"GCF_001515725.1_ASM151572v1","ecoli_achtman_4","23","adk(6)","fumC(4)","gyrB(12)","icd(1)","mdh(20)","purA(13)","recA(7)","-","O78","H9","O78:H9","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O78-3-wzx;O78-6-wzy;H9-1-fliC-origin;","100;100;99.95;","100;100;100;","NZ_CP007491.1;NZ_CP007491.1;NZ_CP007491.1;","2183290-2184705;2187432-2188553;2018803-2020815;","1416;1122;2013;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4745793,4787270,4879911,59,41477,0.008664,0.027484
"GCF_001544635.1_ASM154463v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP014225.1;NZ_CP014225.1;NZ_CP014225.1;","305536-306783;303259-304425;199309-200805;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4494469,4544579,4659605,82,50110,0.011026,0.03544
"GCF_001558995.2_ASM155899v2","ecoli_achtman_4","11","adk(12)","fumC(12)","gyrB(8)","icd(12)","mdh(15)","purA(2)","recA(2)","-","O157","H7","O157:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP014314.1;NZ_CP014314.1;NZ_CP014314.1;","1220424-1221815;1218556-1219722;1435397-1437154;","1392;1167;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5134734,5273959,5574553,62,139225,0.026399,0.078898
"GCF_001559615.2_ASM155961v2","ecoli_achtman_4","93","adk(6)","fumC(11)","gyrB(4)","icd(10)","mdh(7)","purA(8)","recA(6)","-","O7","-","O7:-","-","Based on 2 allele(s)","wzx:1;wzy:1;","O7-2-wzx-origin;O7-39-wzy;","100;100;","100;100;","NZ_CP014268.2;NZ_CP014268.2;","2736049-2737473;2731611-2732337;","1425;727;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4347854,4380583,4478938,77,32729,0.007471,0.029267
"GCF_001559635.1_ASM155963v1","ecoli_achtman_4","93","adk(6)","fumC(11)","gyrB(4)","icd(10)","mdh(7)","purA(8)","recA(6)","-","O7","-","O7:-","-","Based on 2 allele(s)","wzx:1;wzy:1;","O7-2-wzx-origin;O7-39-wzy;","100;100;","100;100;","NZ_CP014269.1;NZ_CP014269.1;","2823633-2825057;2819195-2819921;","1425;727;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4330334,4411003,4569165,77,80669,0.018288,0.05227
"GCF_001559655.1_ASM155965v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;99.866;","100;100;100;","NZ_CP014270.1;NZ_CP014270.1;NZ_CP014270.1;","2014806-2016053;2012529-2013695;1908579-1910075;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4483674,4591816,4779763,81,108142,0.023551,0.061946
"GCF_001559675.1_ASM155967v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;99.866;","100;100;100;","NZ_CP014272.1;NZ_CP014272.1;NZ_CP014272.1;","2213875-2215122;2211598-2212764;2107648-2109144;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4445519,4633656,4959139,87,188137,0.040602,0.10357
