Isolate,complete_description,Stx_type,No_of_stx_gene_roary_assembly
SRR6929635,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929636,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929636,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929636,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929636,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929637,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929637,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929637,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929637,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929638,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929638,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929639,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929639,Shiga toxin Stx2c subunit A,stx_A,1
SRR7439153,Shiga toxin Stx1a subunit A,stx_A,1
SRR7439153,Shiga toxin Stx1a subunit B,stx_B,1
SRR7439153,Shiga toxin Stx2a subunit B,stx_B,1
SRR7439153,Shiga toxin Stx2c subunit A,stx_A,1
SRR7460819,Shiga toxin Stx2c subunit B,stx_B,1
SRR7460819,Shiga toxin Stx2c subunit A,stx_A,1
SRR7896257,Shiga toxin Stx1a subunit A,stx_A,1
SRR7896257,Shiga toxin Stx1a subunit B,stx_B,1
SRR7896257,Shiga toxin Stx2a subunit B,stx_B,1
SRR7896257,Shiga toxin Stx2c subunit A,stx_A,1
SRR8192791,Shiga toxin Stx2c subunit B,stx_B,1
SRR8192791,Shiga toxin Stx2c subunit A,stx_A,2
SRR8192791,Shiga toxin Stx2a subunit B,stx_B,1
SRR8292155,Shiga toxin Stx1a subunit A,stx_A,1
SRR8292155,Shiga toxin Stx1a subunit B,stx_B,1
SRR8292155,Shiga toxin Stx2a subunit B,stx_B,1
SRR8292155,Shiga toxin Stx2c subunit A,stx_A,1
SRR941218,Shiga toxin Stx2c subunit B,stx_B,1
SRR941218,Shiga toxin Stx2c subunit A,stx_A,1
